ID,Name,HP,Attack,Defense,Speed,Luck,Magic,Resistance,Agility
265,Light Warrior Lord,77,32,32,17,21,41,23,1
266,Earth Paladin Queen,178,25,25,13,84,16,33,18
267,Light Ranger Queen,155,41,17,1,54,16,33,7
268,Wind Mage Legend,141,10,36,18,52,37,33,16
269,Light Warrior Guardian,54,32,9,19,69,46,24,3
270,Storm Paladin King,162,44,5,10,19,14,20,2
271,Fire Warrior King,186,41,24,16,90,39,17,18
272,Storm Berserker Queen,56,39,33,18,54,31,11,15
273,Storm Berserker Master,91,20,6,18,4,28,31,4
274,Dark Berserker Prince,152,35,16,9,90,51,6,18
275,Wind Archer Guardian,99,42,14,13,28,37,7,21
276,Wind Assassin Slayer,163,30,14,15,97,38,5,21
277,Ice Assassin Slayer,120,12,10,11,10,36,16,14
278,Holy Ranger Legend,137,47,13,13,36,14,14,2
279,Light Ranger Elite,193,45,34,4,15,52,20,17
280,Shadow Ranger Lord,130,23,12,10,70,32,21,12
281,Light Berserker Champion,174,46,17,10,31,20,33,14
282,Fire Mage Legend,108,14,14,14,93,29,20,2
283,Light Necromancer Master,107,26,36,9,83,29,31,13
284,Holy Berserker Queen,58,12,37,16,63,37,13,18
285,Fire Assassin Elite,139,47,8,5,96,36,10,23
286,Dark Assassin Legend,156,31,37,12,84,28,21,17
287,Holy Knight Lord,188,11,12,16,12,47,34,19
288,Ice Priest Guardian,104,42,38,8,58,31,15,9
289,Holy Assassin Elite,62,24,18,17,2,45,32,5
290,Earth Berserker Guardian,96,10,6,2,16,30,17,23
291,Ice Necromancer Queen,57,16,9,13,47,49,8,8
292,Ice Assassin Champion,180,48,34,9,25,46,13,20
293,Light Ranger Elite,156,29,37,7,52,23,33,23
294,Shadow Warrior Elite,149,22,12,15,35,21,9,3
295,Fire Mage Master,125,16,7,4,72,17,25,17
296,Storm Paladin Prince,56,28,27,14,16,23,30,10
297,Storm Priest Slayer,165,22,24,5,50,29,6,17
298,Dark Priest Champion,127,49,32,5,32,37,28,7
299,Light Assassin King,68,20,31,3,61,14,31,7
300,Shadow Berserker Guardian,167,25,32,13,51,42,13,16
301,Shadow Priest Elite,84,47,27,19,91,57,13,15
302,Light Archer Lord,107,17,15,9,40,48,33,20
303,Holy Priest Master,178,18,18,9,66,12,9,24
304,Earth Priest Champion,66,11,33,9,66,18,32,24
305,Fire Assassin King,133,10,26,7,5,22,20,17
306,Dark Berserker Queen,64,13,19,11,47,24,12,11
307,Light Berserker Guardian,132,12,14,13,93,15,28,22
308,Shadow Mage Guardian,119,36,18,17,29,59,31,12
309,Shadow Assassin Master,147,47,30,1,11,44,23,18
310,Shadow Mage Slayer,186,28,23,3,40,26,16,23
311,Light Paladin Lord,110,34,32,4,62,10,12,14
312,Wind Paladin Master,109,26,16,18,89,10,7,6
313,Dark Archer Prince,161,39,37,6,18,39,21,3
314,Shadow Archer King,105,31,8,6,93,13,23,12
315,Fire Assassin Legend,162,12,8,15,47,31,16,21
316,Shadow Priest Elite,185,45,6,5,31,51,24,1
317,Earth Paladin Legend,199,11,32,16,63,13,5,15
318,Earth Necromancer Elite,166,49,35,4,40,16,8,18
319,Dark Archer Champion,101,35,12,5,70,48,29,21
320,Fire Paladin Master,175,12,7,19,64,50,14,20
321,Fire Necromancer Master,170,14,6,7,11,31,20,22
322,Shadow Berserker Guardian,77,38,10,12,39,28,11,20
323,Holy Priest King,138,16,33,3,41,34,14,10
324,Fire Necromancer Legend,82,43,8,4,35,43,16,8
325,Ice Paladin Prince,78,44,17,16,2,30,32,15
326,Storm Warrior Prince,113,30,35,11,97,10,5,14
327,Storm Knight Slayer,92,29,16,10,19,11,22,11
328,Storm Warrior Guardian,54,48,38,15,59,33,32,12
329,Wind Knight Champion,147,26,25,7,81,44,16,8
330,Shadow Mage Lord,117,33,35,10,51,21,31,1
331,Dark Priest Queen,167,29,36,12,20,30,21,15
332,Ancient Priest King,119,43,37,18,85,20,31,2
333,Light Mage Queen,166,30,17,17,12,58,25,14
334,Earth Archer Lord,77,34,8,9,23,34,33,18
335,Light Warrior Guardian,60,14,6,11,59,28,25,4
336,Ancient Knight Lord,96,38,18,5,31,25,22,23
337,Storm Necromancer Master,82,35,16,16,42,59,16,3
338,Ice Ranger Queen,65,28,13,17,57,28,14,22
339,Storm Mage Champion,183,22,19,2,99,19,24,4
340,Fire Priest Slayer,190,46,18,5,78,57,25,19
341,Shadow Necromancer Queen,185,34,37,19,46,46,11,15
342,Earth Knight Legend,102,40,5,8,36,59,11,11
343,Light Priest Champion,99,30,16,9,34,39,16,5
344,Wind Archer Legend,121,26,32,3,1,46,32,23
345,Wind Necromancer Queen,199,32,27,5,39,40,26,14
346,Ice Berserker Champion,58,21,19,13,2,29,23,6
347,Ice Berserker Guardian,109,21,26,12,21,59,19,13
348,Fire Paladin Legend,189,30,31,16,13,20,28,12
349,Dark Paladin King,137,23,23,15,34,45,20,9
350,Storm Priest Slayer,95,16,17,12,78,29,26,2
351,Shadow Knight Master,72,23,35,18,21,23,17,11
352,Shadow Assassin Legend,62,38,14,2,47,42,28,1
353,Shadow Archer King,71,18,26,9,51,31,16,19
354,Dark Ranger Elite,115,17,11,17,44,35,12,23
355,Ancient Priest King,106,12,27,7,70,55,7,8
356,Shadow Knight Legend,165,18,27,6,74,48,34,2
357,Dark Archer Master,60,20,7,18,61,20,13,19
358,Ancient Mage Slayer,165,43,23,16,15,45,18,17
359,Holy Ranger Slayer,124,27,38,4,14,47,19,24
360,Ancient Assassin Elite,88,10,18,6,80,25,30,1
361,Dark Archer Champion,197,27,33,15,92,40,12,15
362,Ice Assassin Lord,105,40,27,18,40,13,20,8
363,Ancient Warrior King,154,33,23,9,85,55,9,20
364,Holy Paladin Queen,148,27,23,8,38,51,30,18
365,Ice Necromancer Prince,54,35,26,13,87,55,28,12
366,Holy Mage Slayer,144,39,12,5,50,47,15,11
367,Earth Berserker Queen,191,14,11,8,1,44,25,11
368,Fire Berserker King,64,32,36,16,21,12,12,2
369,Fire Ranger Lord,186,42,32,4,15,26,8,9
370,Shadow Knight Legend,130,37,22,9,47,55,7,20
371,Ice Ranger Elite,87,35,28,7,67,37,13,5
372,Storm Knight Guardian,156,18,18,12,82,37,15,8
373,Shadow Berserker Elite,76,11,11,7,74,38,15,23
374,Ice Assassin King,173,32,10,10,80,42,21,2
375,Wind Paladin Prince,187,49,15,2,86,13,21,11
376,Ancient Ranger King,81,28,27,3,35,50,26,21
377,Earth Ranger Master,97,25,33,9,31,47,25,19
378,Shadow Necromancer King,144,14,12,1,66,45,13,10
379,Ancient Knight Prince,114,24,29,17,66,25,27,9
380,Shadow Mage Guardian,163,36,36,5,41,48,29,19
381,Fire Necromancer Queen,185,43,23,18,31,17,5,15
382,Light Ranger Champion,163,47,21,15,42,14,16,1
383,Storm Warrior Master,194,24,23,3,40,25,20,15
384,Light Warrior Guardian,194,27,34,7,72,59,22,9
385,Fire Ranger Champion,192,46,38,16,63,27,26,9
386,Light Knight Queen,156,44,10,8,19,47,25,3
387,Earth Priest Slayer,65,49,5,18,6,28,16,11
388,Light Paladin King,71,26,26,3,60,43,9,22
389,Shadow Paladin King,126,39,39,4,32,50,30,16
390,Light Archer Lord,77,42,39,15,71,24,15,24
391,Holy Warrior Slayer,106,39,31,15,4,17,5,23
392,Wind Berserker Elite,164,28,14,18,84,12,22,14
393,Earth Assassin Elite,182,18,33,4,81,58,30,13
394,Shadow Ranger Lord,164,24,13,9,54,48,26,16
395,Light Assassin Guardian,75,12,22,10,77,32,14,10
396,Light Assassin Lord,91,43,23,19,86,26,6,2
397,Light Paladin Master,124,38,36,14,40,35,29,21
398,Shadow Archer Guardian,88,12,31,13,30,19,17,6
399,Storm Berserker Champion,125,13,19,18,56,55,16,14
400,Light Archer Legend,57,32,33,12,9,12,29,15
401,Ice Assassin Elite,148,33,21,5,21,11,30,16
402,Shadow Mage Prince,154,17,33,6,47,57,31,12
403,Ice Necromancer King,100,10,11,17,69,14,16,11
404,Shadow Archer King,117,27,33,9,33,45,15,17
405,Storm Archer Slayer,131,44,26,16,81,39,30,17
406,Shadow Warrior Elite,95,19,21,1,35,26,28,7
407,Storm Archer Lord,106,39,18,9,2,40,10,4
408,Wind Assassin Elite,136,28,16,5,90,24,28,14
409,Light Archer Lord,108,14,25,19,30,27,5,23
410,Light Paladin Prince,87,29,35,8,36,38,12,13
411,Wind Knight Guardian,83,36,39,14,10,32,19,12
412,Shadow Necromancer Elite,70,24,14,17,3,26,30,3
413,Wind Mage King,55,18,34,8,50,56,11,8
414,Wind Assassin Champion,166,45,36,19,59,22,22,11
415,Wind Paladin Prince,84,23,22,3,48,36,32,16
416,Earth Berserker Queen,177,35,32,17,71,57,21,7
417,Earth Archer Prince,89,33,17,19,4,46,22,14
418,Fire Knight Guardian,118,49,22,17,36,32,25,10
419,Ancient Ranger Lord,99,11,14,5,73,37,23,22
420,Ice Warrior King,153,13,37,15,50,35,10,3
421,Dark Archer Elite,77,17,32,7,82,39,8,15
422,Light Mage Slayer,50,20,16,14,82,59,6,23
423,Ice Ranger Guardian,64,21,19,19,58,57,10,6
424,Shadow Berserker Legend,91,44,8,8,39,46,6,19
425,Shadow Paladin Lord,192,13,28,9,80,43,10,2
426,Light Ranger Master,132,13,22,18,85,10,10,10
427,Ancient Mage Elite,54,48,20,12,40,40,14,22
428,Earth Necromancer Champion,182,23,16,6,14,17,20,1
429,Shadow Assassin Elite,69,22,5,18,46,53,6,15
430,Storm Paladin Elite,182,12,29,19,18,23,22,18
431,Fire Archer Master,151,17,10,12,56,53,5,22
432,Ancient Mage Guardian,190,43,9,12,48,17,17,21
433,Ancient Assassin Master,171,28,15,12,15,58,12,11
434,Light Mage Champion,194,35,33,15,87,25,10,14
435,Earth Berserker Champion,89,14,34,17,57,50,17,8
436,Ice Archer Slayer,127,25,28,6,96,46,7,16
437,Storm Necromancer Queen,61,45,22,16,70,24,8,17
438,Ice Ranger Queen,190,17,11,15,29,29,17,1
439,Holy Berserker Guardian,88,14,19,2,57,27,18,12
440,Shadow Warrior Champion,165,11,38,7,77,15,9,5
441,Holy Paladin Champion,54,28,21,3,23,31,25,6
442,Storm Mage Champion,113,35,18,8,61,45,28,6
443,Shadow Ranger Queen,58,27,9,15,93,40,14,22
444,Earth Ranger Legend,105,13,38,12,45,15,5,20
445,Wind Priest Slayer,185,34,16,19,40,34,17,11
446,Storm Paladin Elite,144,25,6,19,46,35,7,22
447,Wind Assassin Elite,125,20,15,8,1,22,24,6
448,Dark Warrior Champion,92,31,23,9,96,20,30,11
449,Light Archer Master,97,28,25,11,47,42,20,18
450,Holy Ranger King,177,14,7,13,98,34,10,19
451,Fire Berserker Legend,159,14,23,9,3,36,30,2
452,Light Mage Champion,103,47,33,16,45,49,34,18
453,Ice Mage Elite,187,37,19,7,29,21,15,7
454,Storm Ranger Prince,98,39,21,1,1,41,34,22
455,Holy Priest Lord,54,40,9,17,15,11,16,19
456,Earth Archer Champion,145,17,34,2,67,22,24,17
457,Shadow Berserker Legend,173,34,8,8,43,49,15,18
458,Storm Knight Prince,152,35,27,5,43,13,14,22
459,Wind Archer King,124,13,14,4,93,58,26,6
460,Dark Priest Guardian,62,47,23,15,77,40,22,10
461,Holy Berserker Prince,63,30,11,8,46,50,21,9
462,Ancient Ranger Slayer,124,14,5,3,25,52,17,1
463,Light Mage Legend,60,32,29,14,68,25,26,8
464,Fire Knight Guardian,199,10,31,19,52,35,32,17
465,Holy Assassin Slayer,106,27,18,15,66,27,27,24
466,Holy Knight King,66,27,27,14,75,16,12,16
467,Wind Priest King,176,14,5,8,26,26,32,3
468,Earth Knight Prince,99,17,14,6,92,42,15,14
469,Fire Assassin Lord,147,45,15,7,80,47,28,11
470,Dark Berserker Lord,50,33,14,15,29,15,17,3
471,Wind Paladin Legend,140,14,20,9,46,20,23,7
472,Light Mage Champion,133,28,9,2,90,36,9,9
473,Dark Mage Champion,66,17,28,1,19,27,12,4
474,Light Paladin Prince,149,21,11,18,36,24,21,20
475,Holy Assassin Elite,66,11,33,12,22,19,31,23
476,Fire Priest Slayer,165,10,14,15,43,11,12,1
477,Ancient Ranger Master,52,42,34,17,1,18,30,20
478,Fire Archer Queen,57,12,27,5,55,16,7,7
479,Fire Knight Legend,180,30,11,13,58,53,20,14
480,Holy Knight Master,192,10,39,16,34,19,25,2
481,Earth Mage Prince,103,48,11,3,20,33,8,23
482,Holy Priest Champion,55,47,15,14,37,39,34,7
483,Holy Assassin Elite,181,14,26,5,75,49,31,15
484,Light Paladin Champion,105,16,12,9,43,43,6,11
485,Shadow Priest Guardian,67,49,7,10,63,50,7,2
